
 Profile 2

 Sensors were turned on at  10/17/2015 03:36:16
 Vehicle began profiling at 10/17/2015 03:38:16

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 04:06:40,247,11.0,473.190,0.00,139,54,74
10/17/2015 04:06:45,244,11.0,474.490,0.00,150,55,74
10/17/2015 04:06:50,291,11.0,475.780,0.00,139,56,75
10/17/2015 04:06:55,218,11.0,477.080,0.00,144,52,73
10/17/2015 04:07:00,296,11.0,478.380,0.00,165,55,72
10/17/2015 04:07:05,257,11.0,479.670,0.00,154,55,75
10/17/2015 04:07:10,292,11.0,480.970,0.00,139,54,75
10/17/2015 04:07:15,239,11.0,482.270,0.00,158,53,76
10/17/2015 04:07:20,302,11.0,483.570,0.00,133,54,73
10/17/2015 04:07:25,242,11.0,484.860,0.00,138,51,76
10/17/2015 04:07:30,295,11.0,486.150,0.00,153,53,75
10/17/2015 04:07:35,274,11.0,487.440,0.00,151,54,74
10/17/2015 04:07:40,282,11.0,488.730,0.00,304,55,72
10/17/2015 04:07:45,221,11.0,490.040,0.00,143,55,73
10/17/2015 04:07:50,268,11.0,491.330,0.00,157,53,75
10/17/2015 04:07:55,224,11.0,492.640,0.00,158,54,72
10/17/2015 04:08:00,259,11.0,493.940,0.00,139,53,76
10/17/2015 04:08:05,246,11.0,495.240,0.00,154,56,74
10/17/2015 04:08:10,238,11.0,496.550,0.00,137,53,75
10/17/2015 04:08:15,269,11.0,497.850,0.00,137,53,75
10/17/2015 04:08:20,258,11.0,499.150,0.00,154,53,75
10/17/2015 04:08:25,268,11.0,500.440,0.00,139,54,75
10/17/2015 04:08:30,255,11.0,501.740,0.00,147,53,73
10/17/2015 04:08:35,279,11.0,503.030,0.00,167,53,73
10/17/2015 04:08:40,288,11.0,504.330,0.00,156,53,75
10/17/2015 04:08:45,285,11.0,505.620,0.00,146,52,73
10/17/2015 04:08:50,226,11.0,506.910,0.00,183,54,75
10/17/2015 04:08:55,285,11.0,508.190,0.00,144,52,74
10/17/2015 04:09:00,295,11.0,509.470,0.00,158,54,75
10/17/2015 04:09:05,298,11.0,510.730,0.00,173,55,74

 Ramp exit:    SMOOTH RUNNING
 Profile exit: BOTTOM PRESSURE

 Vehicle motion stopped at 10/17/2015 04:09:09
 Sensor logging stopped at 10/17/2015 04:11:13
