Sample rate: 2.0000 Hz


 Profile 2

   MM-DD-YYYY HH:MM:SS     HDNG       TX       TY        HX        HY        HZ      VPAB      VPCD      VPEF      VPGH
   06-11-2018 00:44:27   294.99     1.75     1.30    0.0891   -0.2755   -0.9572      5.14      8.20      6.66    -11.85
   06-11-2018 00:44:52   289.73     1.75     0.65    0.0681   -0.2823   -0.9569      5.35      8.00      6.76    -13.97
   06-11-2018 00:45:17   292.88     1.75     1.14    0.0810   -0.2801   -0.9566      7.27      8.10      4.25    -14.85
   06-11-2018 00:45:42   296.44     1.43     1.30    0.1027   -0.2761   -0.9556      5.65      7.98      7.90    -13.90
   06-11-2018 00:46:07   296.91     1.43     1.95    0.0987   -0.2741   -0.9566      6.57      7.49      7.99    -14.30
   06-11-2018 00:46:32   292.11     1.91     0.97    0.0752   -0.2800   -0.9570      7.39      7.55      6.61    -14.52
   06-11-2018 00:46:57   289.48     1.75     0.97    0.0658   -0.2849   -0.9563      7.84      7.34      6.95    -12.90
   06-11-2018 00:47:22   288.36     1.75     1.62    0.0559   -0.2839   -0.9572      9.71      7.38      6.26    -16.85
   06-11-2018 00:47:47   284.27     2.07     1.62    0.0306   -0.2844   -0.9582      8.60      6.98      7.32    -15.75
   06-11-2018 00:48:12   274.25     2.07     0.65   -0.0139   -0.2899   -0.9570      9.37      7.25      6.49    -16.02
   06-11-2018 00:48:37   274.87     2.07     0.32   -0.0106   -0.2881   -0.9575      7.12      7.69      7.82    -13.47
   06-11-2018 00:49:02   273.79     2.07     0.00   -0.0155   -0.2884   -0.9574      7.81      7.84      6.79    -12.45
   06-11-2018 00:49:27   282.81     2.07     1.46    0.0254   -0.2888   -0.9570      7.77      8.17      5.88    -14.34
   06-11-2018 00:49:52   277.21     2.40     0.65   -0.0052   -0.2874   -0.9578      9.15      8.63      4.04    -16.04
   06-11-2018 00:50:17   284.87     2.07     1.62    0.0340   -0.2860   -0.9576      8.17      8.37      5.87    -16.57
   06-11-2018 00:50:42   284.07     1.75     0.97    0.0382   -0.2857   -0.9575      3.64      7.46      9.10    -11.42
   06-11-2018 00:51:07   286.22     1.75     0.97    0.0488   -0.2847   -0.9574      7.86      8.51      5.96    -15.90
   06-11-2018 00:51:32   290.93     1.75     1.14    0.0711   -0.2814   -0.9569     11.27      8.35      3.28    -16.25
   06-11-2018 00:51:57   283.52     1.75     0.97    0.0361   -0.2879   -0.9570      7.68      8.49      5.35    -16.22
   06-11-2018 00:52:22   289.10     1.75     0.65    0.0658   -0.2852   -0.9562      6.48      8.84      6.62    -14.40
   06-11-2018 00:52:47   297.94     1.75     1.14    0.1040   -0.2702   -0.9572      7.10      8.30      6.51    -14.50
   06-11-2018 00:53:12   300.33     1.75     1.95    0.1094   -0.2696   -0.9567      6.54      9.43      5.72    -15.55
   06-11-2018 00:53:37   302.31     1.43     1.62    0.1247   -0.2621   -0.9569      8.95      9.20      4.55    -14.26
   06-11-2018 00:54:02   305.17     1.43     1.62    0.1409   -0.2608   -0.9551      5.35      9.42      6.20    -12.00
   06-11-2018 00:54:27   308.67     1.59     1.95    0.1492   -0.2520   -0.9562      5.12      9.46      6.98    -14.65
   06-11-2018 00:54:52   310.64     1.10     1.46    0.1683   -0.2419   -0.9556      6.68      9.31      4.72    -12.63
   06-11-2018 00:55:17   312.86     1.10     2.60    0.1655   -0.2418   -0.9561      7.49     10.16      3.62    -14.44
   06-11-2018 00:55:42   315.67     1.10     2.11    0.1827   -0.2317   -0.9555      4.38      9.67      6.03    -13.60
   06-11-2018 00:56:07   318.58     1.10     2.92    0.1818   -0.2257   -0.9571      8.16      9.49      3.63    -16.35
   06-11-2018 00:56:32   322.70     1.10     2.43    0.2015   -0.2083   -0.9571      4.85      9.57      6.93    -13.58
   06-11-2018 00:56:57   319.78     0.78     2.27    0.1961   -0.2148   -0.9568      4.06      9.96      6.38    -12.54
   06-11-2018 00:57:22   324.51     0.78     2.27    0.2146   -0.2002   -0.9560      3.29      9.75      7.56    -14.41
   06-11-2018 00:57:47   325.70     0.78     2.92    0.2130   -0.2031   -0.9557      5.94      9.84      5.73    -16.60
