
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:18:00,438,11.0,226.200,0.00,121,53,71
10/17/2015 03:18:05,0,11.2,224.810,0.00,120,52,69
10/17/2015 03:18:10,136,11.1,223.410,0.00,124,53,69
10/17/2015 03:18:15,158,11.2,222.100,0.00,129,52,72
10/17/2015 03:18:20,218,11.1,220.670,0.00,118,52,70
10/17/2015 03:18:25,52,11.2,219.290,0.00,133,52,70
10/17/2015 03:18:30,202,11.1,217.870,0.00,120,55,72
10/17/2015 03:18:35,138,11.1,216.470,0.00,115,55,73
10/17/2015 03:18:40,0,11.2,215.050,0.00,114,53,70
10/17/2015 03:18:45,319,11.1,213.650,0.00,108,54,69
10/17/2015 03:18:50,18,11.2,212.250,0.00,109,53,71
10/17/2015 03:18:55,7,11.2,210.790,0.00,138,54,73
10/17/2015 03:19:00,111,11.1,209.330,0.00,101,52,69
10/17/2015 03:19:05,87,11.2,207.870,0.00,108,52,70
10/17/2015 03:19:10,1,11.2,206.320,0.00,99,55,72
10/17/2015 03:19:15,83,11.2,204.850,0.00,100,55,71
10/17/2015 03:19:20,68,11.1,203.370,0.00,100,51,71
10/17/2015 03:19:25,1,11.2,201.950,0.00,102,51,71
10/17/2015 03:19:30,159,11.1,200.550,0.00,101,53,71
10/17/2015 03:19:35,81,11.2,199.140,0.00,98,53,70
10/17/2015 03:19:40,190,11.1,197.690,0.00,103,52,70
10/17/2015 03:19:45,99,11.1,196.310,0.00,101,52,70
10/17/2015 03:19:50,121,11.2,194.910,0.00,108,53,71
10/17/2015 03:19:55,236,11.0,193.420,0.00,93,52,71
10/17/2015 03:20:00,2,11.2,192.020,0.00,100,52,69
10/17/2015 03:20:05,61,11.2,190.630,0.00,100,52,74
10/17/2015 03:20:10,363,11.0,189.200,0.00,101,52,74
10/17/2015 03:20:15,10,11.2,187.790,0.00,102,55,70
10/17/2015 03:20:20,49,11.1,186.340,0.00,97,53,69
10/17/2015 03:20:25,346,11.1,184.920,0.00,102,55,72
