

 Profile 2

MM-DD-YYYY HH:MM:SS,TmpC,Heading,Pitch,Roll,Beams,Beam1,Beam2,Beam3,Beam4,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3
10-17-2015 03:37:36,12.3300,289.0000,1.1000,-1.4000,3,2,3,4,0,-0.16980,-0.13890,-0.20480,113,113,109
10-17-2015 03:37:36,12.3300,289.0000,1.1000,-1.4000,3,2,3,4,0,-0.26520,-0.15890,-0.26970,124,117,115
10-17-2015 03:37:37,12.3200,280.7000,0.5000,-0.7000,3,2,3,4,0,-0.23580,-0.20340,-0.26750,139,118,113
10-17-2015 03:37:37,12.3200,280.7000,0.5000,-0.7000,3,2,3,4,0,-0.19080,-0.16930,-0.22980,130,114,110
10-17-2015 03:37:38,12.3300,274.8000,0.0000,-1.6000,3,2,3,4,0,-0.11650,-0.08070,-0.19650,123,108,110
10-17-2015 03:37:38,12.3300,274.8000,0.0000,-1.6000,3,2,3,4,0,-0.08350,-0.07320,-0.17270,120,117,107
10-17-2015 03:37:39,12.3400,286.2000,1.6000,0.3000,3,2,3,4,0,-0.10140,-0.05680,-0.18530,107,110,116
10-17-2015 03:37:39,12.3400,286.2000,1.6000,0.3000,3,2,3,4,0,-0.10610,-0.03650,-0.18390,132,116,110
10-17-2015 03:37:40,12.3300,299.8000,1.6000,1.3000,3,2,3,4,0,-0.14930,-0.06230,-0.17520,110,121,132
10-17-2015 03:37:40,12.3300,299.8000,1.6000,1.3000,3,2,3,4,0,-0.13260,-0.09530,-0.18580,114,119,119
10-17-2015 03:37:41,12.3300,308.5000,0.4000,0.2000,3,2,3,4,0,-0.17710,-0.09180,-0.18720,122,124,128
10-17-2015 03:37:41,12.3300,308.5000,0.4000,0.2000,3,2,3,4,0,-0.20530,-0.10910,-0.17820,114,108,122
10-17-2015 03:37:42,12.3300,310.9000,1.2000,-0.4000,3,2,3,4,0,-0.14430,-0.04780,-0.19960,124,116,118
10-17-2015 03:37:42,12.3300,310.9000,1.2000,-0.4000,3,2,3,4,0,-0.17700,-0.02980,-0.14210,111,143,118
10-17-2015 03:37:43,12.3300,319.1000,0.2000,3.3000,3,2,3,4,0,-0.26330,-0.02030,-0.09800,118,113,112
10-17-2015 03:37:43,12.3300,319.1000,0.2000,3.3000,3,2,3,4,0,-0.22380,-0.04240,-0.11850,121,113,119
10-17-2015 03:37:44,12.3300,286.1000,0.9000,-1.2000,3,2,3,4,0,-0.20100,-0.04600,-0.16270,107,111,132
10-17-2015 03:37:44,12.3300,286.1000,0.9000,-1.2000,3,2,3,4,0,-0.23720,-0.14500,-0.21690,104,128,106
10-17-2015 03:37:45,12.3200,275.4000,0.4000,-0.1000,3,2,3,4,0,-0.26220,-0.14350,-0.23510,106,112,120
10-17-2015 03:37:45,12.3200,275.4000,0.4000,-0.1000,3,2,3,4,0,-0.25670,-0.19470,-0.25280,116,116,112
10-17-2015 03:37:46,12.3200,258.9000,0.1000,-1.9000,3,2,3,4,0,-0.23230,-0.19530,-0.25420,115,132,113
10-17-2015 03:37:46,12.3200,258.9000,0.1000,-1.9000,3,2,3,4,0,-0.17860,-0.18500,-0.29430,133,116,122
10-17-2015 03:37:47,12.3400,259.1000,0.1000,-0.5000,3,2,3,4,0,-0.15330,-0.22730,-0.28580,119,117,140
10-17-2015 03:37:47,12.3400,259.1000,0.1000,-0.5000,3,2,3,4,0,-0.13850,-0.18500,-0.29190,115,120,135
10-17-2015 03:37:48,12.3500,278.4000,0.0000,0.3000,3,2,3,4,0,-0.14520,-0.15190,-0.26720,117,114,116
10-17-2015 03:37:48,12.3500,278.4000,0.0000,0.3000,3,2,3,4,0,-0.14110,-0.16470,-0.24020,125,118,124
10-17-2015 03:37:49,12.3600,302.0000,0.0000,-0.8000,3,2,3,4,0,-0.12610,-0.09890,-0.22340,137,114,106
10-17-2015 03:37:49,12.3600,302.0000,0.0000,-0.8000,3,2,3,4,0,-0.10110,-0.10760,-0.14920,128,126,104
10-17-2015 03:37:50,12.3600,336.5000,0.4000,1.1000,3,2,3,4,0,-0.15070,-0.05690,-0.11790,131,109,110
10-17-2015 03:37:50,12.3600,336.5000,0.4000,1.1000,3,2,3,4,0,-0.15920,-0.04930,-0.12130,108,114,108
10-17-2015 03:37:51,12.3500,347.8000,0.9000,1.3000,3,2,3,4,0,-0.21830,-0.03070,-0.12770,127,109,114
10-17-2015 03:37:51,12.3500,347.8000,0.9000,1.3000,3,2,3,4,0,-0.23030,-0.02260,-0.11690,132,114,142
10-17-2015 03:37:52,12.3500,340.0000,0.4000,0.6000,3,2,3,4,0,-0.23150,-0.01680,-0.10190,115,128,113
10-17-2015 03:37:52,12.3500,340.0000,0.4000,0.6000,3,2,3,4,0,-0.18150,-0.00930,-0.05870,122,124,115
10-17-2015 03:37:53,12.3500,329.5000,-0.5000,3.1000,3,2,3,4,0,-0.20420,-0.02100,0.00180,131,129,114
10-17-2015 03:37:53,12.3500,329.5000,-0.5000,3.1000,3,2,3,4,0,-0.22560,-0.06260,-0.05550,120,120,109
10-17-2015 03:37:54,12.3500,288.8000,1.8000,-1.7000,3,2,3,4,0,-0.23740,-0.08330,-0.23880,114,114,120
10-17-2015 03:37:54,12.3500,288.8000,1.8000,-1.7000,3,2,3,4,0,-0.34990,-0.11730,-0.25500,105,116,116
10-17-2015 03:37:55,12.3400,280.5000,1.5000,1.2000,3,2,3,4,0,-0.29400,-0.16160,-0.28660,111,117,119
10-17-2015 03:37:55,12.3400,280.5000,1.5000,1.2000,3,2,3,4,0,-0.29380,-0.16080,-0.32060,114,114,117
10-17-2015 03:37:56,12.3600,270.4000,-0.5000,-2.6000,3,2,3,4,0,-0.19490,-0.18070,-0.28300,127,122,116
10-17-2015 03:37:56,12.3600,270.4000,-0.5000,-2.6000,3,2,3,4,0,-0.12450,-0.21040,-0.26330,126,120,121
10-17-2015 03:37:57,12.3700,286.2000,0.3000,0.0000,3,2,3,4,0,-0.13100,-0.14480,-0.24970,113,144,116
10-17-2015 03:37:57,12.3700,286.2000,0.3000,0.0000,3,2,3,4,0,-0.02710,-0.05960,-0.17750,120,113,113
10-17-2015 03:37:58,12.3700,331.0000,0.2000,3.6000,3,2,3,4,0,-0.06460,-0.05670,-0.08150,109,108,108
10-17-2015 03:37:58,12.3700,331.0000,0.2000,3.6000,3,2,3,4,0,-0.20460,-0.05070,-0.06640,116,112,109
10-17-2015 03:37:59,12.3800,318.8000,1.0000,-3.3000,3,2,3,4,0,-0.14730,-0.13040,-0.16640,117,118,115
10-17-2015 03:37:59,12.3800,318.8000,1.0000,-3.3000,3,2,3,4,0,-0.18310,-0.08720,-0.17830,117,114,115
10-17-2015 03:38:00,12.3900,345.7000,0.2000,1.5000,3,2,3,4,0,-0.27710,-0.12480,-0.13230,117,115,112
10-17-2015 03:38:00,12.3900,345.7000,0.2000,1.5000,3,2,3,4,0,-0.26710,-0.07020,-0.12240,121,112,114
10-17-2015 03:38:01,12.4100,340.0000,0.1000,2.5000,3,2,3,4,0,-0.25360,-0.06550,-0.06930,119,112,111
10-17-2015 03:38:01,12.4100,340.0000,0.1000,2.5000,3,2,3,4,0,-0.25150,-0.08460,-0.09160,109,120,132
10-17-2015 03:38:02,12.4100,305.5000,0.4000,-1.5000,3,2,3,4,0,-0.17660,-0.02480,-0.14560,111,111,117
