

 Profile 2

MM-DD-YYYY HH:MM:SS,Sndm/s,TmpC,Heading,Pitch,Roll,magnHx,magnHy,magnHz,Beams,Cells,Beam1,Beam2,Beam3,Beam4,Beam5,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3
10-17-2015 03:37:29.375,1500.0000,12.3300,259.4000,1.0000,0.0000,16503,-100,468,3,1,2,3,4,0,0,-0.14890,-0.12150,-0.27800,108,123,118,091,088,098
10-17-2015 03:37:29.875,1500.0000,12.3300,259.4000,1.0000,0.0000,16503,-100,468,3,1,2,3,4,0,0,-0.12800,-0.09020,-0.23660,115,115,112,091,083,096
10-17-2015 03:37:30.375,1500.0000,12.3300,267.5000,-0.2000,-1.1000,16409,263,95,3,1,2,3,4,0,0,-0.08050,-0.12480,-0.22660,109,123,113,087,097,087
10-17-2015 03:37:30.875,1500.0000,12.3300,267.5000,-0.2000,-1.1000,16409,263,95,3,1,2,3,4,0,0,-0.09330,-0.12150,-0.19680,122,117,116,097,096,095
10-17-2015 03:37:31.375,1500.0000,12.3200,285.3000,1.7000,-0.1000,16611,-33,668,3,1,2,3,4,0,0,-0.14400,-0.09980,-0.21930,115,109,105,096,090,085
10-17-2015 03:37:31.875,1500.0000,12.3200,285.3000,1.7000,-0.1000,16611,-33,668,3,1,2,3,4,0,0,-0.17720,-0.11570,-0.27380,108,115,121,085,095,097
10-17-2015 03:37:32.375,1500.0000,12.3200,302.2000,1.1000,0.6000,16515,-258,483,3,1,2,3,4,0,0,-0.18300,-0.10230,-0.22140,123,119,116,096,097,097
10-17-2015 03:37:32.875,1500.0000,12.3200,302.2000,1.1000,0.6000,16515,-258,483,3,1,2,3,4,0,0,-0.20800,-0.07530,-0.19550,125,108,112,099,090,098
10-17-2015 03:37:33.375,1500.0000,12.3200,311.3000,0.8000,-0.9000,16479,196,400,3,1,2,3,4,0,0,-0.22690,-0.09430,-0.19050,111,110,126,078,086,099
10-17-2015 03:37:33.875,1500.0000,12.3200,311.3000,0.8000,-0.9000,16479,196,400,3,1,2,3,4,0,0,-0.20550,-0.11860,-0.20290,120,120,106,097,099,086
